Village_Code,District,Village_Name,Electricity_Access_Percent,Street_Lighting_Percent,Average_Hours_Power_Supply,Transformer_Count,Solar_Power_Implemented,Electricity_Metering_Percent,Power_Outage_Frequency,Recent_Upgrades,Last_Updated,Data_Source,Verified_By
423,Prakasam,Sarahpalli,80,64,18.281104317934517,2,No,82,Moderate,No,2025-08-01,State Electricity Board,Gram Panchayat Officer
424,Visakhapatnam,Nathanpalli,94,95,21.300297036282497,7,Partial,89,Moderate,Yes,2025-08-17,State Electricity Board,Independent Auditor
425,Chittoor,Bobbypalli,97,89,23.175010591596134,4,No,97,Low,Yes,2025-08-24,State Electricity Board,Gram Panchayat Officer
426,East Godavari,Jamespalli,70,57,23.282786731171043,5,No,93,Moderate,Yes,2025-08-09,State Electricity Board,Independent Auditor
427,Chittoor,Robertpalli,96,87,22.723427985213085,2,No,95,Low,No,2025-08-14,State Electricity Board,Independent Auditor
428,Srikakulam,Samuelpalli,94,57,18.82089442965427,2,No,95,Moderate,Yes,2025-08-20,State Electricity Board,District Engineer
429,Prakasam,Markpalli,88,73,22.59046114516797,8,Partial,83,Moderate,No,2025-08-16,State Electricity Board,District Engineer
430,Guntur,Angelapalli,82,90,18.273686696399476,10,No,85,Low,No,2025-08-24,State Electricity Board,District Engineer
431,YSR Kadapa,Oscarpalli,79,100,19.75631267287426,6,No,93,Moderate,No,2025-08-20,State Electricity Board,District Engineer
432,Anantapur,Briannapalli,81,54,20.649257679361654,1,No,86,Low,No,2025-08-21,State Electricity Board,Gram Panchayat Officer
433,Chittoor,Sarapalli,82,66,22.528192191675544,8,Partial,100,Low,No,2025-08-03,State Electricity Board,Independent Auditor
434,Anantapur,Kristinepalli,71,63,18.586215756237923,6,No,87,High,Yes,2025-07-31,State Electricity Board,District Engineer
435,West Godavari,Laurenpalli,98,78,19.779041103482452,2,No,96,Moderate,No,2025-08-03,State Electricity Board,District Engineer
436,Vizianagaram,Robertpalli,82,53,18.971985901711395,3,No,88,Moderate,No,2025-08-20,State Electricity Board,Gram Panchayat Officer
437,Srikakulam,Ashleypalli,75,85,21.0971665010112,5,Yes,94,Moderate,No,2025-08-16,State Electricity Board,District Engineer
438,Chittoor,Christinapalli,70,78,21.91621590669608,7,Partial,86,Low,No,2025-07-25,State Electricity Board,District Engineer
439,Krishna,Donnapalli,97,95,19.239163396198116,6,Yes,97,Moderate,No,2025-08-11,State Electricity Board,Independent Auditor
440,Srikakulam,Nicolepalli,74,72,21.622452339174465,4,Partial,93,High,No,2025-08-05,State Electricity Board,District Engineer
441,West Godavari,Brettpalli,83,92,22.1644957079087,5,Partial,96,Moderate,Yes,2025-08-19,State Electricity Board,District Engineer
442,Krishna,Jonathanpalli,92,71,22.681032584779693,4,No,80,Moderate,Yes,2025-08-03,State Electricity Board,Independent Auditor
443,Srikakulam,Troypalli,100,88,22.632017127191585,8,Yes,98,Moderate,Yes,2025-07-25,State Electricity Board,Gram Panchayat Officer
444,Prakasam,Donaldpalli,89,78,20.574385819653187,5,Yes,90,Low,No,2025-08-11,State Electricity Board,Gram Panchayat Officer
445,Anantapur,Peterpalli,71,97,20.842139862486345,10,No,95,High,No,2025-08-13,State Electricity Board,Gram Panchayat Officer
446,Anantapur,Tiffanypalli,75,77,23.10323024140184,10,Partial,80,Low,No,2025-08-20,State Electricity Board,District Engineer
447,Prakasam,Beverlypalli,85,63,23.16188033234065,3,No,86,Low,Yes,2025-08-02,State Electricity Board,District Engineer
448,Krishna,Dawnpalli,75,91,18.883350244856416,2,Yes,82,Moderate,No,2025-08-04,State Electricity Board,Gram Panchayat Officer
449,Vizianagaram,Stephenpalli,83,88,18.7241520867666,8,Yes,93,Low,Yes,2025-07-31,State Electricity Board,Gram Panchayat Officer
450,Vizianagaram,Williampalli,75,89,23.298245275461465,6,Yes,89,Moderate,No,2025-08-06,State Electricity Board,Independent Auditor
451,Chittoor,Angelapalli,77,52,20.248781390892926,2,No,98,Low,Yes,2025-08-06,State Electricity Board,District Engineer
452,Guntur,Carriepalli,75,51,23.390932612725326,7,Partial,97,Low,Yes,2025-07-27,State Electricity Board,Gram Panchayat Officer
453,Chittoor,Kerrypalli,75,93,20.385124024836912,8,Yes,81,Moderate,Yes,2025-07-28,State Electricity Board,District Engineer
454,Krishna,Jasminepalli,84,79,23.30122844369974,1,Yes,82,Moderate,Yes,2025-08-10,State Electricity Board,District Engineer
455,Anantapur,Christopherpalli,98,71,22.111505315189675,1,No,98,Low,Yes,2025-08-19,State Electricity Board,Gram Panchayat Officer
456,Krishna,Josephpalli,96,79,19.101238858124844,5,No,98,Low,Yes,2025-07-28,State Electricity Board,Gram Panchayat Officer
457,Chittoor,Robertpalli,75,86,19.671822344475377,8,No,87,High,Yes,2025-08-07,State Electricity Board,District Engineer
458,Anantapur,Anthonypalli,100,86,18.195067885880153,7,No,88,Low,Yes,2025-07-27,State Electricity Board,Gram Panchayat Officer
459,Vizianagaram,Bryanpalli,89,96,21.676489002300364,9,No,83,High,Yes,2025-08-01,State Electricity Board,Independent Auditor
460,YSR Kadapa,Parkerpalli,77,58,20.772103996606813,3,No,85,High,Yes,2025-08-19,State Electricity Board,Independent Auditor
461,Chittoor,Jeffreypalli,73,74,19.333252043190374,1,No,98,Moderate,Yes,2025-08-20,State Electricity Board,Gram Panchayat Officer
462,Krishna,Dylanpalli,92,76,20.715374994060376,6,Yes,94,Low,No,2025-08-13,State Electricity Board,District Engineer
463,East Godavari,Haleypalli,88,81,19.588649941538065,10,No,80,Moderate,Yes,2025-08-08,State Electricity Board,Independent Auditor
464,Kurnool,Lisapalli,83,69,22.89638717485022,7,Partial,95,Moderate,No,2025-07-28,State Electricity Board,District Engineer
465,Vizianagaram,Davidpalli,75,52,21.273841739158165,2,Partial,85,High,Yes,2025-08-19,State Electricity Board,District Engineer
466,Anantapur,Donnapalli,94,54,23.424710126432938,5,Yes,99,Low,No,2025-08-16,State Electricity Board,Independent Auditor
467,Anantapur,Davidpalli,88,52,21.50868948810565,3,Yes,91,Low,Yes,2025-08-18,State Electricity Board,District Engineer
468,Vizianagaram,Jamespalli,70,60,19.468071089276116,2,Yes,84,Moderate,No,2025-08-13,State Electricity Board,District Engineer
469,Nellore,Michaelpalli,73,89,23.308417427363338,4,No,89,Moderate,Yes,2025-08-17,State Electricity Board,Gram Panchayat Officer
470,Prakasam,Chelseapalli,88,82,22.878956283079862,9,No,86,High,Yes,2025-07-31,State Electricity Board,District Engineer
471,YSR Kadapa,Jacobpalli,76,60,19.767259501656973,4,No,85,High,No,2025-08-20,State Electricity Board,District Engineer
472,Anantapur,Kimberlypalli,95,84,18.159913764006777,10,Partial,97,High,Yes,2025-08-21,State Electricity Board,District Engineer
473,Chittoor,Karlpalli,96,100,19.61679472413623,5,Yes,85,High,Yes,2025-08-10,State Electricity Board,Gram Panchayat Officer
474,Guntur,Heatherpalli,94,88,20.35693079142527,10,Partial,99,Low,Yes,2025-08-21,State Electricity Board,District Engineer
475,Vizianagaram,Brittneypalli,77,81,20.408930995974895,2,No,94,Moderate,No,2025-08-16,State Electricity Board,District Engineer
476,Srikakulam,Lindapalli,72,50,20.30358468810852,10,No,100,Low,Yes,2025-07-27,State Electricity Board,Gram Panchayat Officer
477,Vizianagaram,Crystalpalli,80,89,23.91590205416813,2,Partial,84,Low,No,2025-08-10,State Electricity Board,District Engineer
478,West Godavari,Codypalli,92,64,18.59924735791762,6,Yes,92,Low,No,2025-07-28,State Electricity Board,Gram Panchayat Officer
479,Srikakulam,Michaelpalli,85,70,18.906868621756722,9,Partial,92,Moderate,No,2025-08-21,State Electricity Board,District Engineer
480,Guntur,Thomaspalli,92,51,23.342137394285686,7,Yes,94,Low,Yes,2025-08-24,State Electricity Board,Independent Auditor
481,Krishna,Christopherpalli,88,60,21.959068614624144,9,No,90,Low,No,2025-08-23,State Electricity Board,District Engineer
482,Krishna,Peterpalli,75,95,18.635368335073945,6,Partial,87,Moderate,No,2025-08-24,State Electricity Board,Gram Panchayat Officer
483,Guntur,Johnpalli,73,67,19.259302394977002,3,Yes,98,High,Yes,2025-08-15,State Electricity Board,District Engineer
484,Guntur,Amberpalli,91,53,21.104548343331473,8,No,98,Moderate,Yes,2025-08-16,State Electricity Board,Gram Panchayat Officer
485,YSR Kadapa,Jasonpalli,89,58,20.24617041762579,5,Yes,84,Low,Yes,2025-08-02,State Electricity Board,Gram Panchayat Officer
486,Krishna,Kylepalli,90,93,19.928016485292254,9,Yes,98,Low,Yes,2025-08-15,State Electricity Board,Independent Auditor
487,Prakasam,Marcuspalli,85,81,18.24868406793872,8,Partial,92,High,Yes,2025-07-25,State Electricity Board,District Engineer
488,Krishna,Deborahpalli,98,65,22.545322142697373,10,Partial,97,Moderate,No,2025-08-21,State Electricity Board,Gram Panchayat Officer
489,Anantapur,Cynthiapalli,97,89,23.65653616445481,3,No,94,High,No,2025-07-25,State Electricity Board,Gram Panchayat Officer
490,East Godavari,Kevinpalli,78,53,23.300522469867705,6,Partial,96,Moderate,Yes,2025-07-29,State Electricity Board,Independent Auditor
491,YSR Kadapa,Randypalli,87,60,23.835963149734027,6,Partial,93,High,No,2025-08-20,State Electricity Board,Gram Panchayat Officer
492,YSR Kadapa,Robertpalli,95,61,18.107936772986772,9,No,92,Moderate,Yes,2025-08-03,State Electricity Board,Independent Auditor
493,Kurnool,Carriepalli,94,60,20.17447557919369,4,Partial,90,High,No,2025-08-22,State Electricity Board,Independent Auditor
494,Chittoor,Anitapalli,82,60,21.332694865421534,3,Yes,91,Low,Yes,2025-08-07,State Electricity Board,District Engineer
495,Anantapur,Jerrypalli,81,96,22.77488648878134,7,Yes,89,Moderate,Yes,2025-08-07,State Electricity Board,Gram Panchayat Officer
496,Anantapur,Johnpalli,76,87,22.562874253926516,3,Partial,80,Low,Yes,2025-07-30,State Electricity Board,District Engineer
497,East Godavari,Victorpalli,77,67,18.523137075639077,10,Partial,85,High,Yes,2025-07-30,State Electricity Board,District Engineer
498,Kurnool,Blakepalli,89,94,21.930745545812194,7,Yes,94,Low,Yes,2025-08-11,State Electricity Board,Gram Panchayat Officer
499,Anantapur,Emilypalli,70,66,23.511364675955956,6,Yes,98,Moderate,No,2025-08-18,State Electricity Board,District Engineer
500,Prakasam,Josephpalli,72,80,23.015723226295723,1,Yes,87,High,Yes,2025-08-23,State Electricity Board,Independent Auditor
